Year,Month,year_month,Os_Company,Range_DPD,Product_final,Payment_for_Fee,PR_amount,Balance
2021,3,3-2021,GLX,0-180,Credit card,19.100.000 đ,410.515.495 đ,612.731.909 đ
2021,3,3-2021,DK,360-720,HHB,0,14479453260,28554511148
2021,3,3-2021,HMK,360-720,Secured Loan,0,14647327070,18995515110
2021,1,1-2021,BFC,180-360,Unsecured Loan,0,25487217,37066884
2021,4,4-2021,HMK,1080+,Secured Loan,0,33936264714,63663477561
2021,2,2-2021,GLX,0-180,Overdraft,0,58994856,68348385
2021,3,3-2021,TCG,Deadloan,,0,706205960,1512879405
2021,3,3-2021,TCG,Deadloan,HHB,950000,30311004219,60255638943
2021,1,1-2021,AMG,1080+,Unsecured Loan,"55744681,61",18744553838,90291147585
2021,5,5-2021,HMK,360-720,Unsecured Loan,179517229,63372113113,107942663369
2021,3,3-2021,HNA,720-1080,HHB,193340934,70027230701,164261435446
2021,5,5-2021,ASA,1080+,Secured Loan,7000000,32012378153,54301188078
2021,2,2-2021,FBI,Deadloan,Credit card,24000000,4047538735,24227560561
2021,1,1-2021,AMG,720-1080,Overdraft,42871,1132306080,2133986921
2021,1,1-2021,BFC,1080+,HHB,3166247,8802016340,30111052801
2021,3,3-2021,NDC,180-360,Overdraft,0,91188592,119086970
2021,1,1-2021,AMG,1080+,Unsecured Loan,77112747,97485874107,287146418401
2021,2,2-2021,NDC,Deadloan,HHB,0,"183702393,1","724288857,7"
2021,3,3-2021,TDO,720-1080,HHB,0,13891234178,32311988887
2021,5,5-2021,HMK,720-1080,Secured Loan,0,37308999193,53970531878
2021,4,4-2021,GLX,1080+,Secured Loan,0,31959167170,57548364541
2021,2,2-2021,DK,0-180,HHB,9756220,85421820,86486916
2021,4,4-2021,ASA,720-1080,HHB,382745277,147305204394,346255924475
2021,3,3-2021,FBI,0-180,Overdraft,0,0,0
2021,3,3-2021,DK,1080+,Unsecured Loan,322915441,122823017488,365622136253
2021,1,1-2021,TCG,1080+,Unsecured Loan,238611275,237600425242,693534547700
2021,1,1-2021,BFC,Deadloan,Secured Loan,0,165643053365,852189395006
2021,2,2-2021,TCG,720-1080,HHB,1500000,84280806190,198449771056
2021,3,3-2021,BFC,Deadloan,Credit card,0,1880048032,11237222273
2021,2,2-2021,NDC,1080+,Overdraft,0,3192468903,7282828748
2021,3,3-2021,ASA,1080+,Unsecured Loan,747509938,377322628549,1108581795850
2021,2,2-2021,NDC,1080+,Secured Loan,0,17382914713,30632204519
2021,1,1-2021,TCG,180-360,Unsecured Loan,10332000,3485860977,4513990751
2021,3,3-2021,HMK,1080+,Other,0,241300000,593990301
2021,2,2-2021,TDO,180-360,Unsecured Loan,0,27653307,32623086
2021,5,5-2021,TDO,1080+,Overdraft,0,501368232,1289932161
2021,5,5-2021,BFC,Deadloan,Other,0,200000000,3172409116
2021,3,3-2021,TDO,0-180,Overdraft,0,0,0
2021,2,2-2021,DK,360-720,HHB,0,18468777051,36568466055
2021,4,4-2021,ASA,360-720,HHB,258339346,49035777289,94285514544
2021,2,2-2021,TCG,Deadloan,HHB,0,706205964,1482579095
